; first all offensive spells

#skill
Type: Spell
Name: Acid Arrow
Rounds: 5
Minlevel: 8
Mana: 15
Target: 1
Function: spell_acid_arrow
dammsg: $5Acid Arrow$6
#end

#skill
type: spell
name: Avalanche
rounds: 15
minlevel: 56
mana: 60
target: 2
function: spell_generic
startchar: You point your hands to the earth and call of an avalanche!
startroom: $n points $s hands to the earth and summons an avalanche!
dammsg: Avalanche
dice: 8d20+10
#end

#skill
Type: Spell
Name: Burning Hands
Rounds: 6
Minlevel: 5
Mana: 12
Target: 1
Function: spell_burning_hands
dammsg: $B$4Burning Hands$A$6
#end

#skill
type: spell
name: Creeping Doom
rounds: 14
minlevel: 45
mana: 30
target: 1
function: spell_generic
dammsg: $8Creeping Doom$6
dice: 5d22+10
#end

#skill
type: spell
name: Dust Devil
rounds: 5
mana: 12
minlevel: 3
target: 1
dammsg: $B$6Dust Devil$A$6
function: spell_generic
dice: 3d10+5
#end

#skill
Type: Spell
Name: Lightning
Rounds: 11
Minlevel: 25
Mana: 25
Target: 1
Function: spell_lightning
dammsg: $B$6Lightning$A$6
#end

#skill
Type: Spell
Name: Magic Missile
Rounds: 4
Minlevel: 1
Mana: 7
Target: 1
Function: spell_magic_missile
dammsg: $4Magic Missile$6
#end

#skill
type: spell
name: Puncture
rounds: 6
minlevel: 10
mana: 10
target: 1
dammsg: puncture
function: spell_generic
hitchar: You puncture $N with your needle!
hitvict: You are punctured by $N's needle!
hitroom: $n sends a needle flying towards $N.
dice: 4d7+2
#end

#skill
type: spell
name: Rain of Energy
rounds: 14
minlevel: 40
mana: 40
target: 2
function: spell_generic
dice: 3d30+10
dammsg: Rain of Energy
#end

#skill
type: spell
name: Ray of Sunlight
rounds: 14
minlevel: 85
mana: 60
target: 1
function: spell_generic
dice: 8d30+20
dammsg: Ray of $B$6Sunlight$A$7
#end

#skill
type: spell
name: Sandstorm
rounds: 7
minlevel: 6
mana: 14
target: 1
function: spell_generic
dammsg: storm of $6sand
dice: 6d8+10
#end

#skill
Type: Spell
Name: Vortex
Rounds: 11
Minlevel: 18
Mana: 20
Target: 1
Function: spell_vortex
dammsg: $9Vortex$6
#end

#skill
type: spell
name: Voice of Thunder
rounds: 15
minlevel: 60
mana: 50
target: 2
startchar: You raise your voice into a booming thunder of pain!
startroom: $n raises $s voice and sends a booming thunder through the room!
dammsg: $B$4Voice $7of $6Thunder$A$6
function: spell_generic
dice: 1200
#end

#skill
Type: Spell
Name: Winds of Chaos
Rounds: 12
Minlevel: 30
Mana: 35
Target: 1
Function: spell_winds
dammsg: Chaotic Winds
#end

#skill
type: spell
name: Dispel Evil
rounds: 15
minlevel: 200
mana: 150
target: 1
startchar: You begin to chant holy words of protection and dispel $n!
startvict: $n begins to chant holy words and dispels $N!
dammsg: Dispel $B$7Good$A$7
function: spell_generic
dice: 4d150+100
#end

; then all defensive spells

#skill
type: spell
name: Aura of Enlightment
rounds: 13
minlevel: 50
mana: 50
target: 3
function: spell_generic
affects: "Aura of Enlightment" "You feel less bright." 1 { apply_int 2 }
hitchar: You feel smart.
hitroom: $N looks very smart.
#end

#skill
type: spell
name: Armour
rounds: 2
minlevel: 0
mana: 10
target: 3
function: spell_generic
affects: "Armour" "You feel less protected." 12 { apply_ac -16 } { apply_str 3 }
hitchar: You feel protected.
hitroom: $N feels protected.
#end

#skill
type: spell
name: Aqua Breath
rounds: 9
minlevel: 28
mana: 32
target: 3
function: spell_generic
affects: "Aqua Breath" "You can no longer breath under water." 12 { apply_affect 512 }
hitvict: You now have the ability to breath under water.
hitroom: $n's face glows a watery blue.
#end

#skill
type: spell
name: Barrier
rounds: 8
minlevel: 12
mana: 16
target: 4
function: spell_generic
